# Data from Straub L, Villamar-Bouza L, Bruckner S, Chantawannakul P, Gauthier L, Khongphinitbunjong K, Retschnig G, Troxler A, Vidondo-Curras B, Neumann P, Williams GR (2016) Neonicotinoid insecticides can serve as inadvertent insect contraceptives. Proceedings of the Royal Society B 283(1835): 20160506. http://dx.doi.org/10.1098/rspb.2016.0506
# Data from Dryad repository, Straub L, Villamar-Bouza L, Bruckner S, Chantawannakul P, Gauthier L, Khongphinitbunjong K, Retschnig G, Troxler A, Vidondo-Curras B, Neumann P, Williams GR (2016) Data from: Neonicotinoid insecticides can serve as inadvertent insect contraceptives. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.bs515
# Taken from the Excel file from the "Weight Drones" sheet.
Specimen,Colony,Cage,Sample-Nr.,Weight,Treatment,TreatmentNCSS
1,3,1,1,292,Control,1
2,3,1,2,296,Control,1
3,3,1,3,298,Control,1
4,3,1,4,290,Control,1
5,3,1,5,304,Control,1
6,3,1,6,293,Control,1
7,3,1,7,279,Control,1
8,3,1,8,312,Control,1
9,3,1,9,251,Control,1
10,3,1,10,307,Control,1
11,3,2,1,291,Control,1
12,3,2,2,309,Control,1
13,3,2,3,290,Control,1
14,3,2,4,261,Control,1
15,3,2,5,262,Control,1
16,3,2,6,284,Control,1
17,3,2,7,290,Control,1
18,3,2,8,302,Control,1
19,3,2,9,309,Control,1
20,3,2,10,294,Control,1
21,3,3,1,257,Control,1
22,3,3,2,294,Control,1
23,3,3,3,285,Control,1
24,3,3,4,291,Control,1
25,3,3,5,276,Control,1
26,3,3,6,295,Control,1
27,3,3,7,285,Control,1
28,3,3,8,295,Control,1
29,3,3,9,306,Control,1
30,3,3,10,315,Control,1
31,5,1,1,255.6,Control,1
32,5,1,2,283.7,Control,1
33,5,1,3,291.2,Control,1
34,5,1,4,269.7,Control,1
35,5,1,5,261.7,Control,1
36,5,1,6,298.5,Control,1
37,5,1,7,298.2,Control,1
38,5,1,8,292,Control,1
39,5,1,9,258.2,Control,1
40,5,1,10,310.4,Control,1
41,5,2,1,285.3,Control,1
42,5,2,2,273.7,Control,1
43,5,2,3,273.4,Control,1
44,5,2,4,272.3,Control,1
45,5,2,5,272.4,Control,1
46,5,2,6,271.9,Control,1
47,5,2,7,295.6,Control,1
48,5,2,8,274.5,Control,1
49,5,2,9,236.4,Control,1
50,5,2,10,277.2,Control,1
51,5,3,1,263.9,Control,1
52,5,3,2,272.1,Control,1
53,5,3,3,293.7,Control,1
54,5,3,4,263.3,Control,1
55,5,3,5,279,Control,1
56,5,3,6,291.2,Control,1
57,5,3,7,299.1,Control,1
58,5,3,8,287.1,Control,1
59,5,3,9,277.9,Control,1
60,5,3,10,268.7,Control,1
61,2,1,1,278.7,Control,1
62,2,1,2,286.2,Control,1
63,2,1,3,272.1,Control,1
64,2,1,4,269,Control,1
65,2,1,5,282.3,Control,1
66,2,1,6,304.9,Control,1
67,2,1,7,275.3,Control,1
68,2,1,8,293.4,Control,1
69,2,1,9,293.7,Control,1
70,2,1,10,289.2,Control,1
71,2,2,1,271,Control,1
72,2,2,2,259.5,Control,1
73,2,2,3,292.8,Control,1
74,2,2,4,302.2,Control,1
75,2,2,5,272.1,Control,1
76,2,2,6,285.8,Control,1
77,2,2,7,298.5,Control,1
78,2,2,8,284.5,Control,1
79,2,2,9,283,Control,1
80,2,2,10,291.3,Control,1
81,2,3,1,264.8,Control,1
82,2,3,2,267.2,Control,1
83,2,3,3,298,Control,1
84,2,3,4,292,Control,1
85,2,3,5,292.3,Control,1
86,2,3,6,283.4,Control,1
87,2,3,7,271.6,Control,1
88,2,3,8,286.6,Control,1
89,2,3,9,275.9,Control,1
90,2,3,10,267.5,Control,1
91,26,1,1,274,Control,1
92,26,1,2,259.2,Control,1
93,26,1,3,243.3,Control,1
94,26,1,4,252,Control,1
95,26,1,5,260.3,Control,1
96,26,1,6,267.1,Control,1
97,26,1,7,252.2,Control,1
98,26,1,8,239,Control,1
99,26,1,9,271.6,Control,1
100,26,1,10,276.5,Control,1
101,26,2,1,252.7,Control,1
102,26,2,2,256.6,Control,1
103,26,2,3,251,Control,1
104,26,2,4,263,Control,1
105,26,2,5,248.8,Control,1
106,26,2,6,253.1,Control,1
107,26,2,7,240.2,Control,1
108,26,2,8,242.6,Control,1
109,26,2,9,274,Control,1
110,26,2,10,232,Control,1
111,26,3,1,260.1,Control,1
112,26,3,2,245,Control,1
113,26,3,3,242.1,Control,1
114,26,3,4,249.2,Control,1
115,26,3,5,257.9,Control,1
116,26,3,6,253.1,Control,1
117,26,3,7,257.5,Control,1
118,26,3,8,261.6,Control,1
119,26,3,9,267.5,Control,1
120,26,3,10,265.6,Control,1
121,51,1,1,285.2,Control,1
122,51,1,2,286.8,Control,1
123,51,1,3,291.2,Control,1
124,51,1,4,283,Control,1
125,51,1,5,245,Control,1
126,51,1,6,276.3,Control,1
127,51,1,7,295.4,Control,1
128,51,1,8,271.2,Control,1
129,51,1,9,276,Control,1
130,51,1,10,278,Control,1
131,51,2,1,272.1,Control,1
132,51,2,2,252,Control,1
133,51,2,3,257.6,Control,1
134,51,2,4,259.1,Control,1
135,51,2,5,278.6,Control,1
136,51,2,6,273.7,Control,1
137,51,2,7,261.9,Control,1
138,51,2,8,264.4,Control,1
139,51,2,9,265,Control,1
140,51,2,10,283,Control,1
141,77,1,1,278.5,Control,1
142,77,1,2,278.73,Control,1
143,77,1,3,258.5,Control,1
144,77,1,4,277.5,Control,1
145,77,1,5,257.5,Control,1
146,77,1,6,302.9,Control,1
147,77,1,7,270,Control,1
148,77,1,8,261.4,Control,1
149,77,1,9,286.1,Control,1
150,77,1,10,280,Control,1
151,77,2,1,258.3,Control,1
152,77,2,2,281.4,Control,1
153,77,2,3,275.7,Control,1
154,77,2,4,279,Control,1
155,77,2,5,284,Control,1
