# Data taken from the book
#   Grant, PR, Grant, BR (2014) 40 years of evolution:
#   Darwin's finches on Daphne Major Island.
#   Princeton: Princeton University Press.
#
# Accessed throug the Dryad data package:
#   Grant PR, Grant BR(2014) Data from: 40 years of evolution.
#   Darwin's finches on Daphne Major Island. Dryad Digital Repository.
#   http://dx.doi.org/10.5061/dryad.g6g3h
#
# The data appear as in the original file
#        Fig. 10-01.csv
#
band,species,yearband,beak length,beak depth
20123,fortis,73,9.25,8.05
20126,fortis,73,11.35,10.45
20128,fortis,73,10.15,9.55
20129,fortis,73,9.95,8.75
20133,fortis,73,11.55,10.15
20136,fortis,73,11.15,9.85
20138,fortis,73,10.05,8.85
20142,fortis,73,11.25,10.15
20143,fortis,73,9.15,8.15
20146,fortis,73,9.25,8.55
20149,fortis,73,11.75,10.65
20150,fortis,73,9.05,8.05
20152,fortis,73,11.15,9.75
20155,fortis,73,11.25,10.15
20156,fortis,73,10.45,9.85
20157,fortis,73,10.65,9.75
20163,fortis,73,10.05,8.35
20164,fortis,73,10.45,8.55
20169,fortis,73,11.45,10.25
20172,fortis,73,11.15,9.35
20174,fortis,73,10.95,10.15
20176,fortis,73,9.55,8.55
20177,fortis,73,10.65,8.85
20178,fortis,73,10.05,9.85
20181,fortis,73,11.25,10.75
20183,fortis,73,10.85,9.85
20203,fortis,73,10.05,8.45
20206,fortis,73,11.95,10.55
20211,fortis,73,9.85,8.35
20215,fortis,73,9.35,8.25
20217,fortis,73,12.05,10.95
20218,fortis,73,10.35,9.15
20219,fortis,73,10.65,8.85
20221,fortis,73,10.95,10.05
20229,fortis,73,10.25,9.55
20230,fortis,73,12.65,12.15
20233,fortis,73,10.65,9.55
20235,fortis,73,10.75,9.75
20239,fortis,73,10.15,9.25
20243,fortis,73,10.25,9.05
20244,fortis,73,10.35,8.45
20246,fortis,73,10.55,9.55
20247,fortis,73,10.95,9.95
20249,fortis,73,11.65,10.65
20250,fortis,73,9.85,7.95
20253,fortis,73,11.15,10.65
20256,fortis,73,10.05,9.15
20258,fortis,73,11.15,10.05
20263,fortis,73,10.95,9.75
20268,fortis,73,11.05,10.05
20269,fortis,73,10.65,9.65
20271,fortis,73,10.85,9.45
20272,fortis,73,11.05,10.75
20275,fortis,73,11.05,9.85
20276,fortis,73,11.55,11.15
20277,fortis,73,11.25,10.85
20278,fortis,73,10.25,8.55
20282,fortis,73,11.05,10.25
20292,fortis,73,9.95,8.35
20296,fortis,73,10.65,9.15
20299,fortis,73,9.95,9.35
20301,fortis,73,11.05,10.15
20302,fortis,73,10.75,9.75
20306,fortis,73,11.75,10.75
20307,fortis,73,10.25,9.35
20308,fortis,73,9.45,8.65
20309,fortis,73,11.85,10.35
20310,fortis,73,10.95,10.55
20313,fortis,73,10.35,9.45
20317,fortis,73,10.15,8.85
20318,fortis,73,10.45,9.45
20320,fortis,73,11.35,9.85
20324,fortis,73,9.85,9.15
20121,scandens,73,15.15,9.35
20125,scandens,73,15.05,9.75
20135,scandens,73,14.45,8.35
20159,scandens,73,14.05,9.55
20160,scandens,73,14.25,8.55
20175,scandens,73,14.65,9.85
20182,scandens,73,15.45,10.65
20187,scandens,73,15.15,9.55
20200,scandens,73,14.95,9.85
20207,scandens,73,13.65,9.75
20220,scandens,73,14.65,7.95
20224,scandens,73,15.65,9.95
20245,scandens,73,14.05,9.55
20254,scandens,73,13.85,9.15
20259,scandens,73,14.95,10.45
20274,scandens,73,13.15,9.15
