# Data taken from the book
#   Grant, PR, Grant, BR (2014) 40 years of evolution:
#   Darwin's finches on Daphne Major Island.
#   Princeton: Princeton University Press.
#
# Accessed throug the Dryad data package:
#   Grant PR, Grant BR(2014) Data from: 40 years of evolution.
#   Darwin's finches on Daphne Major Island. Dryad Digital Repository.
#   http://dx.doi.org/10.5061/dryad.g6g3h
#
# The data appear as in the original file
#        Fig. 10-03 data, 87.csv
#
band,species,"Beak length, mm","Beak depth, mm"
14613,fortis,9.1,7
15487,fortis,9.14,7.12
15187,fortis,9.24,7.21
15284,fortis,9.2,7.3
14983,fortis,8.83,7.32
14913,fortis,9.14,7.41
15726,fortis,9.04,7.42
15821,fortis,10.56,7.43
15484,fortis,9.7,7.45
4968,fortis,9.25,7.5
15695,fortis,9.5,7.5
15272,fortis,9.34,7.51
15256,fortis,9.64,7.51
13907,fortis,9.04,7.64
5578,fortis,9.8,7.65
10376,fortis,9.28,7.68
13377,fortis,9.5,7.7
15225,fortis,10.8,7.8
15914,fortis,9.24,7.81
14760,fortis,10.24,7.81
15779,fortis,9.74,7.86
13901,fortis,9.2,7.9
15277,fortis,9.95,7.9
15285,fortis,9.34,7.92
13194,fortis,9.35,7.92
14967,fortis,10.1,7.92
14800,fortis,9.96,7.93
14612,fortis,9.27,7.95
15154,fortis,9.4,7.95
14123,fortis,9.68,7.96
15368,fortis,10.19,7.97
15873,fortis,10,8
16027,fortis,10.25,8
15353,fortis,11.3,8
14265,fortis,9.83,8.02
15014,fortis,11.04,8.02
14969,fortis,10.16,8.03
5627,fortis,10.74,8.03
15973,fortis,10.19,8.06
13468,fortis,9.46,8.09
15214,fortis,9.5,8.1
14978,fortis,9.7,8.1
15909,fortis,10,8.1
13996,fortis,10.05,8.1
13543,fortis,10.3,8.1
14634,fortis,10.5,8.1
15804,fortis,9.94,8.11
15493,fortis,10.04,8.11
15363,fortis,10.24,8.11
15286,fortis,9.2,8.2
15019,fortis,9.3,8.2
16112,fortis,10.04,8.21
15270,fortis,10.34,8.21
15874,fortis,10.34,8.21
16007,fortis,10.04,8.22
14860,fortis,9.86,8.23
10313,fortis,9.73,8.24
15490,fortis,9.45,8.25
15106,fortis,10,8.25
13539,fortis,9.78,8.27
14912,fortis,9.64,8.28
13244,fortis,9.8,8.3
14822,fortis,10,8.3
14909,fortis,10,8.3
15944,fortis,10.8,8.3
16170,fortis,9.64,8.31
15477,fortis,10.14,8.31
15111,fortis,10.24,8.31
14686,fortis,10.74,8.31
15915,fortis,10.74,8.31
15759,fortis,11.14,8.31
15850,fortis,11.24,8.31
15977,fortis,9.84,8.32
14632,fortis,9.86,8.33
14982,fortis,9.96,8.33
13306,fortis,10.57,8.34
13351,fortis,10,8.35
15288,fortis,10.95,8.35
15079,fortis,9.89,8.36
15402,fortis,9.99,8.36
15248,fortis,9.1,8.4
13881,fortis,9.8,8.4
15879,fortis,9.85,8.4
4830,fortis,10,8.4
15679,fortis,10,8.4
15806,fortis,10,8.4
5887,fortis,10.18,8.4
15845,fortis,10.4,8.4
14890,fortis,10.9,8.4
15875,fortis,10.04,8.41
15381,fortis,10.14,8.41
15382,fortis,10.24,8.41
15453,fortis,10.54,8.41
5555,fortis,9.04,8.42
15127,fortis,9.24,8.42
14628,fortis,10.06,8.43
15379,fortis,10.26,8.43
14939,fortis,10.2,8.45
10100,fortis,10.93,8.45
16172,fortis,10.64,8.47
15188,fortis,10.74,8.47
14611,fortis,9.4,8.5
14025,fortis,9.55,8.5
14970,fortis,9.8,8.5
15970,fortis,9.83,8.5
10760,fortis,10,8.5
15706,fortis,10,8.5
14762,fortis,10.3,8.5
15829,fortis,10.6,8.5
14743,fortis,11.5,8.5
15933,fortis,10.24,8.51
14836,fortis,10.5,8.51
15940,fortis,10.84,8.51
15995,fortis,9.94,8.52
14704,fortis,10.36,8.53
5685,fortis,9.8,8.55
14833,fortis,10.09,8.56
1536,fortis,9.8,8.6
15163,fortis,9.9,8.6
5556,fortis,10,8.6
14902,fortis,10,8.6
15342,fortis,10,8.6
14894,fortis,10.1,8.6
15761,fortis,11.3,8.6
5628,fortis,12,8.6
15497,fortis,10.14,8.61
14932,fortis,10.34,8.61
15374,fortis,10.34,8.61
15175,fortis,10.54,8.61
15724,fortis,10.54,8.61
15680,fortis,10.94,8.61
14827,fortis,11.04,8.61
15296,fortis,11.14,8.61
15711,fortis,11.14,8.61
10066,fortis,11.24,8.61
15322,fortis,12.14,8.61
15262,fortis,9.94,8.62
14840,fortis,9.95,8.62
4229,fortis,10.05,8.62
13195,fortis,10.35,8.62
14829,fortis,10.86,8.63
13994,fortis,10.18,8.64
15464,fortis,9.45,8.65
15865,fortis,10.19,8.66
14831,fortis,10.84,8.66
13269,fortis,9.4,8.7
15184,fortis,9.5,8.7
14096,fortis,9.8,8.7
15245,fortis,9.85,8.7
15143,fortis,10,8.7
15712,fortis,10.1,8.7
4715,fortis,10.4,8.7
14832,fortis,10.45,8.7
15757,fortis,10.57,8.7
14694,fortis,10.8,8.7
15388,fortis,10.9,8.7
15224,fortis,11.4,8.7
15018,fortis,9.64,8.71
15981,fortis,10.04,8.71
15228,fortis,10.24,8.71
15663,fortis,10.44,8.71
15983,fortis,10.54,8.71
10198,fortis,10.64,8.71
15657,fortis,10.84,8.71
15990,fortis,10.94,8.71
15123,fortis,11.14,8.71
15855,fortis,11.14,8.71
15005,fortis,11.29,8.71
15617,fortis,11.79,8.71
14880,fortis,9.84,8.72
14742,fortis,11.15,8.72
15080,fortis,9.76,8.73
15273,fortis,10.06,8.73
4859,fortis,10.87,8.73
14767,fortis,11.86,8.73
5602,fortis,10.83,8.74
15978,fortis,10.39,8.76
15246,fortis,10.64,8.76
15264,fortis,9.7,8.77
14867,fortis,10.09,8.77
13687,fortis,10.67,8.77
15306,fortis,10.95,8.77
10347,fortis,9.96,8.79
15420,fortis,9.7,8.8
16016,fortis,9.97,8.8
14042,fortis,10.1,8.8
14797,fortis,10.37,8.8
14761,fortis,10.9,8.8
14858,fortis,10.9,8.8
2749,fortis,11.1,8.8
15244,fortis,11.15,8.8
5872,fortis,11.8,8.8
14680,fortis,10.14,8.81
14763,fortis,10.19,8.81
14892,fortis,10.24,8.81
15176,fortis,10.24,8.81
14795,fortis,10.54,8.81
15040,fortis,10.54,8.81
15733,fortis,10.54,8.81
15367,fortis,10.74,8.81
14535,fortis,11.24,8.81
15268,fortis,11.24,8.81
15883,fortis,10.05,8.82
15220,fortis,10.24,8.82
15430,fortis,10.94,8.82
15404,fortis,10.59,8.86
14841,fortis,9.9,8.87
15313,fortis,10.04,8.87
14868,fortis,10.35,8.87
13385,fortis,11.2,8.87
15301,fortis,11.8,8.88
5626,fortis,11.1,8.89
14928,fortis,10,8.9
5965,fortis,10.1,8.9
15182,fortis,10.1,8.9
16162,fortis,10.13,8.9
13582,fortis,10.2,8.9
14811,fortis,10.33,8.9
5669,fortis,10.4,8.9
10703,fortis,10.4,8.9
14684,fortis,10.7,8.9
14809,fortis,10.7,8.9
10548,fortis,10.9,8.9
15387,fortis,10.9,8.9
5721,fortis,11.1,8.9
14808,fortis,11.6,8.9
15223,fortis,11.6,8.9
15795,fortis,11.8,8.9
15274,fortis,10.44,8.91
14664,fortis,10.54,8.91
15854,fortis,10.64,8.91
15941,fortis,10.74,8.91
14258,fortis,10.76,8.91
15852,fortis,10.79,8.91
15132,fortis,10.84,8.91
15659,fortis,11.04,8.91
15431,fortis,11.29,8.91
15378,fortis,11.84,8.91
14749,fortis,10.04,8.92
14533,fortis,11.1,8.92
15348,fortis,11.2,8.92
14636,fortis,10.76,8.93
14671,fortis,10.76,8.93
13575,fortis,11,8.93
14685,fortis,11.46,8.93
2639,fortis,10.3,8.95
14478,fortis,10.9,8.95
14681,fortis,9.94,8.96
15630,fortis,10.24,8.96
15229,fortis,10.99,8.96
15337,fortis,10.47,8.97
15332,fortis,10.7,8.97
5330,fortis,12.21,8.97
14403,fortis,10.35,8.98
15232,fortis,10.52,8.98
5554,fortis,10,9
15054,fortis,10.3,9
15157,fortis,10.6,9
15488,fortis,10.75,9
15241,fortis,10.8,9
14915,fortis,11,9
14788,fortis,12,9
14846,fortis,10.04,9.01
15631,fortis,10.24,9.01
15715,fortis,10.24,9.01
15496,fortis,10.34,9.01
15758,fortis,10.34,9.01
15791,fortis,10.64,9.01
15311,fortis,11.24,9.01
15684,fortis,11.54,9.01
15785,fortis,11.54,9.01
15465,fortis,10.74,9.02
14712,fortis,11.04,9.02
15230,fortis,10.1,9.03
15318,fortis,10.76,9.03
14356,fortis,10.04,9.04
5389,fortis,10.27,9.04
10232,fortis,10.87,9.04
4936,fortis,10,9.05
5587,fortis,10.35,9.05
14741,fortis,11.04,9.06
13486,fortis,9.98,9.07
13579,fortis,10.03,9.07
15822,fortis,10.49,9.07
15412,fortis,10.5,9.07
15153,fortis,10.57,9.07
15055,fortis,10.8,9.07
14669,fortis,11.34,9.07
15863,fortis,11.69,9.07
10102,fortis,10.98,9.08
14883,fortis,11.51,9.08
13522,fortis,9.66,9.09
10685,fortis,10.46,9.09
14872,fortis,9.7,9.1
15333,fortis,10.5,9.1
14765,fortis,10.6,9.1
15389,fortis,10.83,9.1
13932,fortis,10.9,9.1
13365,fortis,11.3,9.1
15066,fortis,11.4,9.1
14723,fortis,12,9.1
14659,fortis,10.24,9.11
16111,fortis,10.24,9.11
15011,fortis,10.34,9.11
15047,fortis,10.35,9.11
15781,fortis,10.89,9.11
14826,fortis,10.9,9.11
15499,fortis,11.04,9.11
15065,fortis,11.09,9.11
15832,fortis,11.14,9.11
15934,fortis,11.14,9.11
14784,fortis,11.34,9.11
15611,fortis,11.34,9.11
15325,fortis,11.54,9.11
14672,fortis,10.54,9.12
14347,fortis,10.63,9.12
15105,fortis,10.85,9.12
15233,fortis,10.85,9.12
14838,fortis,10.95,9.12
15359,fortis,11.04,9.12
5828,fortis,11.25,9.12
14824,fortis,11.25,9.12
15048,fortis,10.46,9.13
15321,fortis,11.96,9.13
5817,fortis,10.49,9.14
13690,fortis,10.73,9.14
5507,fortis,11.07,9.14
5858,fortis,10.45,9.15
16089,fortis,10.65,9.15
5718,fortis,10.71,9.15
15408,fortis,11.2,9.15
14692,fortis,11.25,9.15
15027,fortis,10.37,9.17
14518,fortis,10.72,9.17
13389,fortis,12.22,9.19
14871,fortis,9.5,9.2
14041,fortis,10,9.2
15126,fortis,10.2,9.2
15369,fortis,10.4,9.2
5826,fortis,10.55,9.2
14100,fortis,10.6,9.2
15125,fortis,10.6,9.2
5927,fortis,10.7,9.2
10213,fortis,10.7,9.2
14062,fortis,10.7,9.2
