# Data taken from the book
#   Grant, PR, Grant, BR (2014) 40 years of evolution:
#   Darwin's finches on Daphne Major Island.
#   Princeton: Princeton University Press.
#
# Accessed throug the Dryad data package:
#   Grant PR, Grant BR(2014) Data from: 40 years of evolution.
#   Darwin's finches on Daphne Major Island. Dryad Digital Repository.
#   http://dx.doi.org/10.5061/dryad.g6g3h
#
# The data appear as in the original file
#        Fig. 10-03 data, 91.csv
#
band,species,blength,bdepth
2639,fortis,10.3,8.95
2666,fortis,12.81,9.3
2753,fortis,10.89,10.35
2776,fortis,11.3,10
4229,fortis,10.05,8.62
4677,fortis,11.02,10.17
4715,fortis,10.4,8.7
4899,fortis,10.87,9.7
4911,fortis,11,9.7
4936,fortis,10,9.05
4946,fortis,11.42,10.27
5026,fortis,10.9,9.8
5110,fortis,14.07,12.37
5370,fortis,12.73,10.88
5505,fortis,11.4,9.8
5555,fortis,9.04,8.42
5578,fortis,9.8,7.65
5586,fortis,10.2,9.67
5602,fortis,10.83,8.74
5625,fortis,10.94,9.86
5626,fortis,11.1,8.89
5669,fortis,10.4,8.9
5685,fortis,9.8,8.55
5721,fortis,11.1,8.9
5731,fortis,10.8,10.3
5821,fortis,12.32,10.62
5826,fortis,10.55,9.2
5860,fortis,11.55,10.05
5872,fortis,11.8,8.8
5887,fortis,10.18,8.4
5904,fortis,11.1,10.5
5905,fortis,11.86,10.43
5921,fortis,11.2,9.87
5927,fortis,10.7,9.2
5960,fortis,11.4,10.15
10081,fortis,10.9,9.5
10100,fortis,10.93,8.45
10102,fortis,10.98,9.08
10181,fortis,11.1,10.5
10213,fortis,10.7,9.2
10305,fortis,11.82,9.9
10376,fortis,9.28,7.68
10679,fortis,10.9,10
10826,fortis,11.2,9.4
13269,fortis,9.4,8.7
13300,fortis,11.06,10.09
13351,fortis,10,8.35
13385,fortis,11.2,8.87
13486,fortis,9.98,9.07
13543,fortis,10.3,8.1
13575,fortis,11,8.93
13595,fortis,11.4,10.17
13644,fortis,10.5,9.5
13687,fortis,10.67,8.77
13704,fortis,10.67,9.47
13837,fortis,11.58,9.72
13945,fortis,10.43,9.74
13975,fortis,11,9.9
13994,fortis,10.18,8.64
14003,fortis,11.8,10.32
14041,fortis,10,9.2
14062,fortis,10.7,9.2
14100,fortis,10.6,9.2
14117,fortis,10.6,10
14258,fortis,10.76,8.91
14347,fortis,10.63,9.12
14442,fortis,11.53,11.38
14468,fortis,11.83,10.34
14478,fortis,10.9,8.95
14492,fortis,11.2,9.6
14518,fortis,10.72,9.17
14533,fortis,11.1,8.92
14612,fortis,9.27,7.95
14613,fortis,9.1,7
14620,fortis,10.7,9.85
14624,fortis,11.85,10.85
14625,fortis,11.84,10.52
14633,fortis,11.29,9.78
14655,fortis,11.33,10.29
14656,fortis,11.9,10.17
14660,fortis,11.14,9.92
14672,fortis,10.54,9.12
14674,fortis,10.5,9.8
14676,fortis,11,9.57
14678,fortis,11.5,9.6
14681,fortis,9.94,8.96
14684,fortis,10.7,8.9
14686,fortis,10.74,8.31
14687,fortis,11.5,9.5
14689,fortis,11.2,9.96
14692,fortis,11.25,9.15
14694,fortis,10.8,8.7
14705,fortis,10.5,9.4
14706,fortis,11.5,10.9
14710,fortis,11.65,9.65
14720,fortis,12,9.52
14722,fortis,12.15,9.47
14723,fortis,12,9.1
14741,fortis,11.04,9.06
14745,fortis,11.5,10
14752,fortis,11.9,10
14762,fortis,10.3,8.5
14763,fortis,10.19,8.81
14777,fortis,11.6,10.2
