band,beak depth (mm),beak length (mm),species,year
20123,8.05,9.25,fortis,1973
20126,10.45,11.35,fortis,1973
20128,9.55,10.15,fortis,1973
20129,8.75,9.95,fortis,1973
20133,10.15,11.55,fortis,1973
20136,9.85,11.15,fortis,1973
20138,8.85,10.05,fortis,1973
20142,10.15,11.25,fortis,1973
20143,8.15,9.15,fortis,1973
20146,8.55,9.25,fortis,1973
20149,10.65,11.75,fortis,1973
20150,8.05,9.05,fortis,1973
20152,9.75,11.15,fortis,1973
20155,10.15,11.25,fortis,1973
20156,9.85,10.45,fortis,1973
20157,9.75,10.65,fortis,1973
20163,8.35,10.05,fortis,1973
20164,8.55,10.45,fortis,1973
20169,10.25,11.45,fortis,1973
20172,9.35,11.15,fortis,1973
20174,10.15,10.95,fortis,1973
20176,8.55,9.55,fortis,1973
20177,8.85,10.65,fortis,1973
20178,9.85,10.05,fortis,1973
20181,10.75,11.25,fortis,1973
20183,9.85,10.85,fortis,1973
20203,8.45,10.05,fortis,1973
20206,10.55,11.95,fortis,1973
20211,8.35,9.85,fortis,1973
20215,8.25,9.35,fortis,1973
20217,10.95,12.05,fortis,1973
20218,9.15,10.35,fortis,1973
20219,8.85,10.65,fortis,1973
20221,10.05,10.95,fortis,1973
20229,9.55,10.25,fortis,1973
20230,12.15,12.65,fortis,1973
20233,9.55,10.65,fortis,1973
20235,9.75,10.75,fortis,1973
20239,9.25,10.15,fortis,1973
20243,9.05,10.25,fortis,1973
20244,8.45,10.35,fortis,1973
20246,9.55,10.55,fortis,1973
20247,9.95,10.95,fortis,1973
20249,10.65,11.65,fortis,1973
20250,7.95,9.85,fortis,1973
20253,10.65,11.15,fortis,1973
20256,9.15,10.05,fortis,1973
20258,10.05,11.15,fortis,1973
20263,9.75,10.95,fortis,1973
20268,10.05,11.05,fortis,1973
20269,9.65,10.65,fortis,1973
20271,9.45,10.85,fortis,1973
20272,10.75,11.05,fortis,1973
20275,9.85,11.05,fortis,1973
20276,11.15,11.55,fortis,1973
20277,10.85,11.25,fortis,1973
20278,8.55,10.25,fortis,1973
20282,10.25,11.05,fortis,1973
20292,8.35,9.95,fortis,1973
20296,9.15,10.65,fortis,1973
20299,9.35,9.95,fortis,1973
20301,10.15,11.05,fortis,1973
20302,9.75,10.75,fortis,1973
20306,10.75,11.75,fortis,1973
20307,9.35,10.25,fortis,1973
20308,8.65,9.45,fortis,1973
20309,10.35,11.85,fortis,1973
20310,10.55,10.95,fortis,1973
20313,9.45,10.35,fortis,1973
20317,8.85,10.15,fortis,1973
20318,9.45,10.45,fortis,1973
20320,9.85,11.35,fortis,1973
20324,9.15,9.85,fortis,1973
20121,9.35,15.15,scandens,1973
20125,9.75,15.05,scandens,1973
20135,8.35,14.45,scandens,1973
20159,9.55,14.05,scandens,1973
20160,8.55,14.25,scandens,1973
20175,9.85,14.65,scandens,1973
20182,10.65,15.45,scandens,1973
20187,9.55,15.15,scandens,1973
20200,9.85,14.95,scandens,1973
20207,9.75,13.65,scandens,1973
20220,7.95,14.65,scandens,1973
20224,9.95,15.65,scandens,1973
20245,9.55,14.05,scandens,1973
20254,9.15,13.85,scandens,1973
20259,10.45,14.95,scandens,1973
20274,9.15,13.15,scandens,1973
2,8.0,9.4,fortis,1975
9,8.3,9.2,fortis,1975
12,7.5,9.5,fortis,1975
15,8.0,9.5,fortis,1975
305,9.9,11.5,fortis,1975
307,8.6,11.1,fortis,1975
308,8.4,9.9,fortis,1975
309,9.8,11.5,fortis,1975
311,9.2,10.8,fortis,1975
312,9.0,11.3,fortis,1975
313,9.5,11.5,fortis,1975
314,8.9,11.5,fortis,1975
