species,offspring beak depth (mm),parent beak depth (mm)
fortis,10.7,10.100000000000001
fortis,9.78,9.55
fortis,9.48,9.399999999999999
fortis,9.6,10.25
fortis,10.27,10.125
fortis,9.5,9.7
fortis,9.0,9.05
fortis,9.0,9.05
fortis,7.46,7.4
fortis,7.65,9.0
fortis,8.63,8.65
fortis,9.81,9.625
fortis,9.4,9.899999999999999
fortis,9.48,9.55
fortis,8.75,9.05
fortis,7.6,8.35
fortis,10.0,10.1
fortis,10.09,10.1
fortis,9.74,9.899999999999999
fortis,9.64,10.225
fortis,8.49,10.0
fortis,10.15,10.55
fortis,10.28,10.45
fortis,9.2,9.2
fortis,10.01,10.2
fortis,9.03,8.95
fortis,9.94,10.05
fortis,10.5,10.2
fortis,9.7,9.5
fortis,10.02,9.925
fortis,10.04,9.95
fortis,9.43,10.05
fortis,8.1,8.75
fortis,9.5,9.2
fortis,9.9,10.15
fortis,9.48,9.8
fortis,10.18,10.7
fortis,10.16,10.5
fortis,9.08,9.55
fortis,10.39,10.55
fortis,9.9,10.475
fortis,8.4,8.649999999999999
fortis,10.6,10.7
fortis,8.75,9.1
fortis,9.46,9.4
fortis,9.6,10.3
fortis,9.6,9.65
fortis,9.95,9.5
fortis,10.05,9.7
fortis,10.16,10.525
fortis,10.1,9.95
fortis,9.83,10.1
fortis,9.46,9.75
fortis,9.7,10.05
fortis,9.82,9.9
fortis,10.34,10.0
fortis,8.02,9.1
fortis,9.65,9.45
fortis,9.87,9.25
fortis,9.0,9.5
fortis,9.0,9.5
fortis,11.14,10.0
fortis,9.25,10.524999999999999
fortis,8.14,9.899999999999999
fortis,10.23,10.399999999999999
fortis,8.7,8.95
fortis,9.8,9.4
fortis,10.54,10.95
fortis,11.19,10.75
fortis,9.85,10.100000000000001
fortis,8.1,8.05
fortis,9.3,9.1
fortis,9.34,9.55
fortis,9.19,9.05
fortis,9.52,10.2
fortis,9.36,10.0
fortis,8.8,10.55
fortis,8.6,10.75
fortis,8.0,8.175
fortis,8.5,9.7
fortis,8.3,8.8
fortis,10.38,10.75
fortis,8.54,9.3
fortis,8.94,9.7
fortis,10.0,9.600000000000001
fortis,9.76,9.75
fortis,9.45,9.600000000000001
fortis,9.89,10.45
fortis,10.9,11.0
fortis,9.91,10.85
fortis,9.39,10.149999999999999
fortis,9.86,10.350000000000001
fortis,9.74,10.4
fortis,9.9,9.95
fortis,9.09,9.1
fortis,9.69,10.1
fortis,10.24,9.85
fortis,8.9,9.625
fortis,9.67,9.475
fortis,8.93,9.0
fortis,9.3,9.25
fortis,8.67,9.100000000000001
fortis,9.15,9.25
fortis,9.23,9.2
fortis,9.59,9.95
fortis,9.03,8.65
fortis,9.58,9.8
fortis,8.97,9.4
fortis,8.57,9.0
fortis,8.47,8.55
fortis,8.47,8.55
fortis,8.71,8.75
fortis,9.21,9.65
fortis,9.21,9.65
fortis,9.13,8.95
fortis,8.5,9.15
fortis,9.58,9.85
fortis,9.21,10.225
fortis,9.6,9.825
fortis,9.32,10.0
fortis,8.7,9.425
fortis,10.46,10.4
fortis,9.29,9.875
fortis,9.24,8.95
fortis,9.45,8.9
fortis,9.35,9.350000000000001
fortis,10.19,10.425
fortis,9.91,10.0
fortis,9.91,10.0
fortis,9.18,10.175
fortis,9.89,9.875
fortis,9.6,9.875
fortis,10.3,9.15
fortis,9.45,9.45
fortis,8.79,9.025
fortis,9.2,9.7
fortis,8.8,9.7
fortis,9.69,10.05
fortis,10.61,10.3
fortis,9.6,9.6
fortis,9.9,10.0
fortis,9.9,10.0
fortis,9.26,9.8
fortis,10.2,10.05
fortis,8.79,8.75
fortis,9.28,10.55
fortis,8.83,9.7
fortis,9.76,10.0
fortis,10.2,9.85
fortis,9.43,9.8
fortis,9.4,9.175
fortis,9.9,9.649999999999999
fortis,9.5,9.55
fortis,9.5,9.55
fortis,8.95,9.9
fortis,9.98,11.55
fortis,9.72,11.3
fortis,9.86,10.4
fortis,11.1,10.8
fortis,9.14,9.8
fortis,10.49,10.45
fortis,9.75,10.0
fortis,9.75,10.0
fortis,10.35,10.75
fortis,9.73,9.350000000000001
fortis,9.83,10.75
fortis,8.69,9.175
fortis,9.58,9.65
