# The data come from Markus Meister's group from Dawna Bagherian and Kyu Lee, two grad students. They put electrodes in the retinal cells of a mouse and measured voltage. From the time trace of voltage, they can detect and characterize spiking events.
t (ms),V (uV)
703.96,4.79
704.0,-0.63
704.04,5.83
704.08,0.31
704.12,-4.58
704.16,21.67
704.2,8.13
704.24,5.94
704.28,14.79
704.32,2.71
704.36,0.94
704.4,17.4
704.44,11.77
704.48,-2.6
704.52,6.04
704.56,-3.44
704.6,-6.04
704.64,10.42
704.68,19.06
704.72,7.4
704.76,9.79
704.8,20.42
704.84,-0.1
704.88,-7.92
704.92,-7.29
704.96,-11.25
705.0,-12.19
705.04,12.6
705.08,-1.98
705.12,-10.31
705.16,0.1
705.2,-5.31
705.24,-8.02
705.28,15.52
705.32,4.17
705.36,-5.31
705.4,3.65
705.44,-5.52
705.48,-11.25
705.52,4.06
705.56,6.25
705.6,-1.25
705.64,7.29
705.68,7.29
705.72,-6.56
705.76,-3.85
705.8,12.71
705.84,-3.75
705.88,-5.73
705.92,2.29
705.96,-2.92
706.0,-6.35
706.04,21.35
706.08,2.4
706.12,-7.29
706.16,3.96
706.2,-3.23
706.24,-8.54
706.28,15.1
706.32,3.96
706.36,-2.5
706.4,14.69
706.44,3.13
706.48,-2.81
706.52,8.54
706.56,10.1
706.6,-0.63
706.64,8.75
706.68,15.42
706.72,3.13
706.76,1.46
706.8,-0.63
706.84,-6.67
706.88,-5.52
706.92,11.35
706.96,1.04
707.0,-1.88
707.04,8.13
707.08,1.46
707.12,-7.4
707.16,11.25
707.2,-5.73
707.24,-9.27
707.28,3.85
707.32,-7.19
707.36,-11.67
707.4,13.33
707.44,4.17
707.48,-11.98
707.52,-5.94
707.56,-6.56
707.6,-6.77
707.64,3.23
707.68,6.56
707.72,-6.15
707.76,-5.63
707.8,2.19
707.84,-11.15
707.88,-8.96
707.92,10.42
707.96,-4.17
708.0,-9.79
708.04,-4.79
708.08,-12.71
708.12,-19.58
708.16,10.63
708.2,-1.67
708.24,-10.0
708.28,1.98
708.32,-4.79
708.36,-5.42
708.4,11.04
708.44,-0.21
708.48,-6.88
708.52,4.79
708.56,-5.73
708.6,-11.56
708.64,-0.94
708.68,6.15
708.72,-9.17
708.76,-8.65
708.8,0.94
708.84,-16.56
708.88,-14.17
708.92,-5.83
708.96,-6.67
709.0,-5.83
709.04,22.08
709.08,5.42
709.12,-1.88
709.16,4.69
709.2,1.88
709.24,-6.88
709.28,17.81
709.32,4.17
709.36,-5.0
709.4,8.65
709.44,-5.73
709.48,-12.08
709.52,3.13
709.56,1.15
709.6,-8.23
709.64,-0.94
709.68,8.44
709.72,-10.63
709.76,-4.06
709.8,10.42
709.84,-2.5
709.88,-0.1
709.92,4.38
709.96,-8.13
710.0,-9.48
710.04,18.54
710.08,4.79
